word,count,change
stay home,5777,0.0
new york,2779,-5
stay safe,1983,-9
gon na,1938,-6
trying times,1927,3
tested positive,1832,-2
times share,1828,4
trying times share,1826,4
share support,1820,4
times share support,1815,4
corona virus,1792,2
twitter web,1435,-10
due covid,1348,-13
sign petition,1178,1
death toll,1157,-1
stop spread,1151,5
white house,1151,-8
public health,1139,-13
president trump,1125,1
year old,1086,-1
positive covid,1033,1
health care,917,-1
fake news,915,-7
task force,886,-4
many people,880,1
good news,828,-6
fox news,824,New
self employed,822,New
relief bill,822,New
amid covid,819,-17
help stop,812,16
stimulus bill,799,New
going get,799,New
prime minister,796,1
non essential,786,New
last week,752,New
spread covid,747,-13
fight covid,743,New
new york times,742,-2
york times,742,0
self isolation,736,5
at home,731,New
home order,726,New
help us,722,-1
help stop spread,715,28
stimulus package,703,3
please stay,687,3
test positive,685,34
around world,670,12
social media,664,12
