word,count,change
stay home,5979,-1.0
new york,5467,1
death toll,2707,-5
must act,2645,1
deliver copy,2610,1
must act deliver,2552,-1
act deliver copy,2552,1
act deliver,2552,3
stay safe,2541,-1
tested positive,2482,1
gon na,2102,-2
corona virus,2005,0
due covid,1992,-9
health care,1956,-3
fake news,1886,-1
last week,1778,-20
twitter web,1728,-9
president trump,1709,4
year old,1654,4
public health,1647,0
fight covid,1631,2
sign petition,1582,-3
good news,1515,-4
positive covid,1444,6
virus covid,1411,New
white house,1327,2
amid covid,1308,-16
many people,1293,5
fox news,1246,-5
task force,1227,9
petition via,1176,0
around world,1164,-3
sign petition via,1161,0
home order,1155,New
self isolation,1142,New
at home,1135,New
mental health,1113,7
good job,1103,New
help us,1080,2
people dying,1056,29
every day,1031,-3
social media,1031,0
god bless,1031,5
spread covid,998,-1
prime minister,964,13
test positive,942,18
stay at,917,New
stay at home,910,New
death rate,877,20
breathing aid,869,New
