word,count,change
new york,7135,0.0
stay home,5277,0
death toll,3822,0
tested positive,3035,-2
admitted hospital,2925,New
prime minister,2562,-41
white house,2318,-8
fight covid,2134,-6
positive covid,2080,-14
fake news,2055,-1
gon na,2035,1
corona virus,2012,5
year old,1960,8
stay safe,1956,10
fox news,1834,7
task force,1799,3
president trump,1761,1
many people,1635,-4
public health,1623,-1
health care,1608,11
due covid,1460,4
keep safe,1396,New
twitter web,1395,2
death rate,1392,0
york city,1276,-11
around world,1273,0
new york city,1272,-10
sign petition,1242,16
good news,1146,2
amid covid,1127,2
york times,1120,2
new york times,1117,2
people die,1112,-9
deliver copy,1068,New
petition via,1033,17
people dying,1031,3
mask usage,1030,New
trump administration,1030,4
enforce mask,1026,New
safe enforce,1026,New
enforce mask usage,1026,New
safe enforce mask,1026,New
god bless,1019,3
keep safe enforce,1019,New
sign petition via,1018,26
usage deliver copy,1016,New
mask usage deliver,1016,New
usage deliver,1016,New
social media,1011,17
help us,994,15
