word,count,change
new york,4954,0.0
stay home,4037,1
death toll,3072,1
tested positive,2866,5
due covid,2633,3
world health,2403,-4
task force,2375,10
public health,2323,3
twitter web,2309,4
president trump,2186,-3
gon na,2097,9
fox news,2053,15
fight covid,2043,2
stay safe,2026,4
health care,1924,-1
fake news,1882,5
corona virus,1879,6
at home,1777,17
health organization,1773,-14
white house,1754,-4
amid covid,1732,-2
mental health,1730,4
world health organization,1726,-17
nursing home,1711,18
many people,1599,-1
stay at,1594,New
stay at home,1580,New
year old,1562,-6
positive covid,1534,-1
twitter android,1495,New
small business,1458,New
help us,1447,4
around world,1439,-8
pandemia covid,1345,0
good news,1344,-6
home order,1333,New
contact tracing,1313,New
back work,1300,New
go back,1247,New
long term,1218,-3
health minister,1187,New
trump cut,1167,New
every day,1150,-5
make sure,1145,5
spread covid,1113,-13
new covid,1101,1
sign petition,1101,New
york times,1099,-5
social media,1094,-3
new york times,1093,-6
