word,count,change
new york,6242,0.0
stay home,4184,0
death toll,2988,0
public health,2504,-6
white house,2375,1
fake news,2227,-2
task force,2094,-10
due covid,2057,3
twitter web,1996,3
stay safe,1981,-1
fight covid,1953,4
tested positive,1938,3
fox news,1751,-6
corona virus,1716,2
gon na,1675,1
health care,1640,3
year old,1597,2
amid covid,1539,-7
intensive care,1499,-1
prime minister,1428,-10
sign petition,1407,0
many people,1402,4
president trump,1368,7
good news,1357,1
around world,1307,1
positive covid,1281,4
go back,1233,-14
back work,1212,New
petition via,1208,-2
sign petition via,1196,-3
mental health,1179,3
spread covid,1175,-4
every day,1095,4
test positive,1093,8
federal government,1037,-5
social media,1005,-1
response covid,998,-1
help us,995,-1
small business,981,New
york times,976,8
new york times,972,7
people dying,957,7
last week,903,New
make sure,898,1
would like,880,New
well done,873,-3
trump administration,850,New
pandemia covid,836,0
front line,835,New
impact covid,827,New
