word,count,change
death toll,4640,0.0
new york,4305,0
one world,4251,New
stay home,4115,-1
world together,3199,New
together home,3193,New
world together home,3085,New
one world together,3054,New
tested positive,2256,-4
due covid,2046,-6
home special,1908,New
gon na,1898,-1
together home special,1894,New
at home,1872,4
president trump,1828,-3
fight covid,1821,0
stay safe,1805,-7
task force,1799,-11
stay at,1676,2
stay at home,1669,2
corona virus,1617,-7
public health,1580,-9
fake news,1571,1
white house,1570,-7
fox news,1538,-19
many people,1531,-7
health care,1481,-19
celebrate covid,1450,New
positive covid,1447,-4
special celebrate,1433,New
test positive,1425,9
world health,1420,-5
special celebrate covid,1417,New
home special celebrate,1416,New
twitter web,1402,-26
chief staff,1399,New
amid covid,1349,-22
new covid,1327,-12
year old,1316,-16
around world,1226,-7
health organization,1162,-3
want know,1156,New
herd immunity,1133,New
world health organization,1130,-2
death rate,1120,-11
make difference,1055,New
help support,1050,New
every day,984,-18
good news,982,-14
go back,976,-11
