word,count,change
stay home,5489,0.0
new york,3362,0
stay safe,1908,0
gon na,1889,0
corona virus,1794,-6
tested positive,1699,0
sign petition,1520,-7
twitter web,1450,-4
white house,1408,-8
self employed,1377,-18
due covid,1324,-2
president trump,1309,-7
fox news,1241,-14
public health,1233,-4
year old,1218,-5
death toll,1107,1
prime minister,1080,-17
fake news,1075,-5
positive covid,1069,-2
good news,1061,-6
fish tank,1036,New
petition via,940,New
sign petition via,925,New
amid covid,924,-6
health care,923,3
back work,908,New
task force,881,3
test positive,862,-20
tank cleaner,846,New
fish tank cleaner,835,New
many people,835,6
stimulus bill,822,0
fight covid,806,-5
relief bill,754,5
at home,735,-7
make sure,732,New
via change,711,New
social media,707,-12
go back,704,New
around world,679,-9
slow spread,668,New
help us,655,-2
death rate,653,New
stimulus package,649,-2
petition via change,643,New
home order,641,3
spread covid,633,10
self isolation,623,7
twitter android,621,New
work home,607,New
