word,count,change
new york,5604,0.0
stay home,5294,0
must act,3856,New
deliver copy,3836,New
act deliver,3680,New
act deliver copy,3680,New
must act deliver,3680,New
death toll,2760,-2
tested positive,2330,-5
stay safe,2275,-5
people dying,2189,29
corona virus,2160,-5
gon na,2079,-5
president trump,2053,2
year old,1765,-6
fake news,1575,-6
health care,1517,-3
positive covid,1453,-3
fight covid,1430,-7
public health,1420,-7
task force,1355,26
due covid,1347,-2
many people,1325,-4
white house,1296,1
sign petition,1228,-14
twitter web,1114,-2
good news,1090,-5
test positive,1087,-7
death rate,1083,5
mental health,1056,15
petition via,1053,-14
prime minister,1038,-6
sign petition via,1035,-15
fox news,1031,12
around world,1001,-7
last week,1000,New
help us,949,-14
god bless,941,-11
york times,905,-4
new york times,902,-4
people die,854,New
social media,853,-10
amid covid,827,-13
every day,826,-6
spread covid,807,-14
front line,769,New
wan na,753,-3
take care,751,-15
make sure,743,-10
please stay,742,-1
