word,count,change
new york,4603,-1.0
stay home,3966,1
due covid,3119,-2
death toll,3109,1
white house,3008,-3
suspend immigration,2811,-35
at home,2558,-9
tested positive,2374,-4
president trump,2329,3
twitter web,2301,3
health care,2227,-8
task force,2206,3
public health,2149,2
gon na,2069,0
year old,2069,-7
small business,1915,-15
fake news,1864,-3
fox news,1852,-18
corona virus,1792,-2
stay safe,1788,10
fight covid,1741,17
amid covid,1663,7
second wave,1658,New
immigration us,1645,New
many people,1533,-3
around world,1469,-1
death rate,1464,New
mental health,1444,-16
positive covid,1398,-1
new covid,1374,-2
pandemia covid,1304,New
help us,1264,-11
stay at,1257,10
stay at home,1255,10
trump administration,1247,-2
york times,1243,New
new york times,1231,New
temporarily suspend,1214,New
good news,1211,-3
temporarily suspend immigration,1194,New
contact tracing,1178,-8
last week,1175,16
go back,1160,-4
test positive,1159,5
join us,1130,New
back work,1129,New
suspend immigration us,1115,New
every day,1114,2
response covid,1097,New
spread covid,1079,New
